
                         descent_est_spt               tabou_est_spt                 
instance size  best      runtime makespan ecart        runtime makespan ecart        
aaa1     2x3     11           16       11   0,0             24       11   0,0        
aaa2     4x3     29            2       29   0,0             26       29   0,0        
aaa3     4x3     41            1       41   0,0             19       41   0,0        
la01     10x5   666            4      697   4,7             68      666   0,0        
la02     10x5   655            4      713   8,9             51      713   8,9        
la03     10x5   597            1      666  11,6             55      647   8,4        
la04     10x5   590            1      702  19,0             38      605   2,5        
la05     10x5   593            1      610   2,9             19      593   0,0        
la06     15x5   926            5      963   4,0             41      936   1,1        
la07     15x5   890            2     1034  16,2             42      959   7,8        
la08     15x5   863            1      933   8,1             50      933   8,1        
la09     15x5   951            2      975   2,5             28      951   0,0        
la10     15x5   958            1     1049   9,5             50     1049   9,5        
la11     20x5  1222            3     1390  13,7             59     1320   8,0        
la12     20x5  1039           11     1125   8,3             77     1108   6,6        
la13     20x5  1150            3     1255   9,1             80     1231   7,0        
la14     20x5  1292            2     1427  10,4             46     1374   6,3        
la15     20x5  1207            2     1339  10,9             60     1335  10,6        
la16     10x10  945            5     1129  19,5            104     1011   7,0        
la17     10x10  784            3      905  15,4            120      866  10,5        
la18     10x10  848            1      981  15,7            131      981  15,7        
la19     10x10  842            3      909   8,0            117      909   8,0        
la20     10x10  902            7      959   6,3            128      937   3,9        
la21     15x10 1046           10     1257  20,2            166     1214  16,1        
la22     15x10  927            4     1169  26,1            217     1118  20,6        
la23     15x10 1032            5     1141  10,6            184     1119   8,4        
la24     15x10  935            6     1189  27,2            150     1179  26,1        
la25     15x10  977            8     1382  41,5            188     1364  39,6        
la26     20x10 1218           10     1460  19,9            242     1445  18,6        
la27     20x10 1235           14     1705  38,1            229     1705  38,1        
la28     20x10 1216            6     1541  26,7            256     1478  21,5        
la29     20x10 1152            8     1522  32,1            260     1491  29,4        
la30     20x10 1355           33     1604  18,4            305     1604  18,4        
la31     30x10 1784           11     1928   8,1            299     1820   2,0        
la32     30x10 1850           16     2158  16,6            377     2144  15,9        
la33     30x10 1719            9     1862   8,3            330     1834   6,7        
la34     30x10 1721           15     2043  18,7            323     1988  15,5        
la35     30x10 1888            9     2117  12,1            344     2097  11,1        
la36     15x15 1268           43     1719  35,6            537     1719  35,6        
la37     15x15 1397           12     1613  15,5            254     1613  15,5        
la38     15x15 1196           18     1372  14,7            503     1357  13,5        
la39     15x15 1233            4     1534  24,4            413     1534  24,4        
la40     15x15 1222           24     1381  13,0            455     1361  11,4        
AVG      -        -          8,0        -  14,7          173,6        -  12,0        

