
                         descent_est_spt               descent_est_lrpt              
instance size  best      runtime makespan ecart        runtime makespan ecart        
aaa1     2x3     11           16       11   0,0              2       11   0,0        
aaa2     4x3     29            5       29   0,0              2       32  10,3        
aaa3     4x3     41            2       41   0,0              4       41   0,0        
la01     10x5   666           11      697   4,7              9      695   4,4        
la02     10x5   655           12      713   8,9              7      782  19,4        
la03     10x5   597            5      666  11,6              2      696  16,6        
la04     10x5   590            2      702  19,0              2      747  26,6        
la05     10x5   593            2      610   2,9              2      593   0,0        
la06     15x5   926           14      963   4,0              2      926   0,0        
la07     15x5   890            2     1034  16,2             14      923   3,7        
la08     15x5   863            4      933   8,1              3      919   6,5        
la09     15x5   951            5      975   2,5              4      985   3,6        
la10     15x5   958            3     1049   9,5              2      966   0,8        
la11     20x5  1222            8     1390  13,7              3     1268   3,8        
la12     20x5  1039            7     1125   8,3             10     1081   4,0        
la13     20x5  1150            6     1255   9,1              3     1150   0,0        
la14     20x5  1292            2     1427  10,4              2     1292   0,0        
la15     20x5  1207            2     1339  10,9              2     1343  11,3        
la16     10x10  945            7     1129  19,5              2     1054  11,5        
la17     10x10  784            6      905  15,4              5      831   6,0        
la18     10x10  848            3      981  15,7             10      945  11,4        
la19     10x10  842            7      909   8,0              5     1008  19,7        
la20     10x10  902           16      959   6,3              3      964   6,9        
la21     15x10 1046           15     1257  20,2              8     1213  16,0        
la22     15x10  927            7     1169  26,1              3     1079  16,4        
la23     15x10 1032            9     1141  10,6             18     1150  11,4        
la24     15x10  935           12     1189  27,2             12     1050  12,3        
la25     15x10  977           11     1382  41,5             17     1120  14,6        
la26     20x10 1218           12     1460  19,9             25     1382  13,5        
la27     20x10 1235           19     1705  38,1              4     1442  16,8        
la28     20x10 1216            6     1541  26,7              4     1475  21,3        
la29     20x10 1152            7     1522  32,1             10     1330  15,5        
la30     20x10 1355           38     1604  18,4              3     1534  13,2        
la31     30x10 1784           14     1928   8,1             29     1872   4,9        
la32     30x10 1850           19     2158  16,6             12     1855   0,3        
la33     30x10 1719           17     1862   8,3             21     1833   6,6        
la34     30x10 1721           21     2043  18,7             15     1917  11,4        
la35     30x10 1888           10     2117  12,1             17     2059   9,1        
la36     15x15 1268           69     1719  35,6             38     1484  17,0        
la37     15x15 1397           13     1613  15,5             36     1538  10,1        
la38     15x15 1196           37     1372  14,7             38     1394  16,6        
la39     15x15 1233            5     1534  24,4             21     1435  16,4        
la40     15x15 1222           26     1381  13,0             15     1405  15,0        
AVG      -        -         12,0        -  14,7           10,4        -   9,9        

