
                         descent_est_spt               tabou_est_spt                 
instance size  best      runtime makespan ecart        runtime makespan ecart        
aaa1     2x3     11           28       11   0,0            123       11   0,0        
aaa2     4x3     29            4       29   0,0            142       29   0,0        
aaa3     4x3     41            0       41   0,0             72       41   0,0        
la01     10x5   666            5      697   4,7            192      666   0,0        
la02     10x5   655            7      713   8,9            309      713   8,9        
la03     10x5   597            1      666  11,6            253      640   7,2        
la04     10x5   590            6      702  19,0            231      598   1,4        
la05     10x5   593            1      610   2,9            136      593   0,0        
la06     15x5   926            6      963   4,0            238      936   1,1        
la07     15x5   890            1     1034  16,2            259      910   2,2        
la08     15x5   863            2      933   8,1            257      863   0,0        
la09     15x5   951            2      975   2,5            151      951   0,0        
la10     15x5   958            1     1049   9,5            253     1049   9,5        
la11     20x5  1222            3     1390  13,7            306     1320   8,0        
la12     20x5  1039            7     1125   8,3            268     1108   6,6        
la13     20x5  1150            3     1255   9,1            388     1231   7,0        
la14     20x5  1292            1     1427  10,4            256     1374   6,3        
la15     20x5  1207            1     1339  10,9            392     1335  10,6        
la16     10x10  945            5     1129  19,5            558     1011   7,0        
la17     10x10  784            3      905  15,4            494      866  10,5        
la18     10x10  848            1      981  15,7            501      981  15,7        
la19     10x10  842            4      909   8,0            784      909   8,0        
la20     10x10  902            9      959   6,3            711      927   2,8        
la21     15x10 1046           10     1257  20,2            840     1214  16,1        
la22     15x10  927            4     1169  26,1            951     1118  20,6        
la23     15x10 1032            6     1141  10,6            884     1118   8,3        
la24     15x10  935            6     1189  27,2            975     1179  26,1        
la25     15x10  977           10     1382  41,5           1076     1364  39,6        
la26     20x10 1218           11     1460  19,9           1512     1445  18,6        
la27     20x10 1235           15     1705  38,1           1386     1705  38,1        
la28     20x10 1216            6     1541  26,7           1700     1478  21,5        
la29     20x10 1152            7     1522  32,1           1539     1491  29,4        
la30     20x10 1355           36     1604  18,4           1738     1604  18,4        
la31     30x10 1784           14     1928   8,1           1121     1784   0,0        
la32     30x10 1850           16     2158  16,6           2750     2144  15,9        
la33     30x10 1719           13     1862   8,3           2478     1834   6,7        
la34     30x10 1721           25     2043  18,7           1838     1988  15,5        
la35     30x10 1888           10     2117  12,1           2294     2097  11,1        
la36     15x15 1268           48     1719  35,6           3074     1719  35,6        
la37     15x15 1397           15     1613  15,5           1438     1613  15,5        
la38     15x15 1196           20     1372  14,7           3079     1357  13,5        
la39     15x15 1233            8     1534  24,4           2537     1534  24,4        
la40     15x15 1222           25     1381  13,0           2751     1361  11,4        
AVG      -        -          9,4        -  14,7         1005,5        -  11,6        

