
                         est_spt                       est_lrpt                      
instance size  best      runtime makespan ecart        runtime makespan ecart        
aaa1     2x3     11           16       11   0,0              0       11   0,0        
aaa2     4x3     29            1       31   6,9              0       32  10,3        
aaa3     4x3     41            0       48  17,1              0       56  36,6        
la01     10x5   666            1      751  12,8              1      735  10,4        
la02     10x5   655            2      821  25,3              1      817  24,7        
la03     10x5   597            1      672  12,6              1      696  16,6        
la04     10x5   590            0      711  20,5              1      758  28,5        
la05     10x5   593            1      610   2,9              2      593   0,0        
la06     15x5   926            1     1200  29,6              2      926   0,0        
la07     15x5   890            2     1034  16,2              1      970   9,0        
la08     15x5   863            2      942   9,2              2      957  10,9        
la09     15x5   951            2     1045   9,9              2     1015   6,7        
la10     15x5   958            1     1049   9,5              2      966   0,8        
la11     20x5  1222            2     1473  20,5              2     1268   3,8        
la12     20x5  1039            2     1203  15,8              2     1137   9,4        
la13     20x5  1150            2     1275  10,9              2     1166   1,4        
la14     20x5  1292            2     1427  10,4              2     1292   0,0        
la15     20x5  1207            3     1339  10,9              2     1343  11,3        
la16     10x10  945            1     1156  22,3              2     1054  11,5        
la17     10x10  784            1      924  17,9              5      846   7,9        
la18     10x10  848            1      981  15,7              1      970  14,4        
la19     10x10  842            1      940  11,6              3     1013  20,3        
la20     10x10  902            2     1000  10,9              2      964   6,9        
la21     15x10 1046            2     1324  26,6              2     1264  20,8        
la22     15x10  927            1     1180  27,3              2     1079  16,4        
la23     15x10 1032            1     1162  12,6              3     1185  14,8        
la24     15x10  935            2     1203  28,7              3     1101  17,8        
la25     15x10  977            2     1449  48,3              3     1166  19,3        
la26     20x10 1218            2     1498  23,0              2     1435  17,8        
la27     20x10 1235            1     1784  44,5              2     1442  16,8        
la28     20x10 1216            1     1610  32,4              1     1487  22,3        
la29     20x10 1152            1     1556  35,1              4     1337  16,1        
la30     20x10 1355            2     1792  32,3              2     1534  13,2        
la31     30x10 1784            3     1951   9,4              2     1931   8,2        
la32     30x10 1850            4     2165  17,0              4     1875   1,4        
la33     30x10 1719            3     1901  10,6              3     1875   9,1        
la34     30x10 1721            3     2070  20,3              3     1935  12,4        
la35     30x10 1888            2     2118  12,2              3     2118  12,2        
la36     15x15 1268            2     1799  41,9              4     1510  19,1        
la37     15x15 1397            2     1655  18,5              3     1588  13,7        
la38     15x15 1196            1     1404  17,4              2     1421  18,8        
la39     15x15 1233            3     1534  24,4              2     1500  21,7        
la40     15x15 1222            2     1476  20,8              2     1440  17,8        
AVG      -        -          2,0        -  19,1            2,1        -  12,8        

