
                         spt                           lrpt                          
instance size  best      runtime makespan ecart        runtime makespan ecart        
aaa1     2x3     11           13       16  45,5              1       11   0,0        
aaa2     4x3     29            1       33  13,8              0       32  10,3        
aaa3     4x3     41            2       53  29,3              0       54  31,7        
la01     10x5   666            2     1462 119,5              2      880  32,1        
la02     10x5   655            1     1943 196,6              1      982  49,9        
la03     10x5   597            3     1066  78,6              1      797  33,5        
la04     10x5   590            1     1525 158,5              1     1000  69,5        
la05     10x5   593            1     1434 141,8              0      666  12,3        
la06     15x5   926            1     2367 155,6              1     1151  24,3        
la07     15x5   890            1     1888 112,1              1     1108  24,5        
la08     15x5   863            2     2518 191,8              1     1278  48,1        
la09     15x5   951            0     2645 178,1              1     1270  33,5        
la10     15x5   958            1     2182 127,8              0     1224  27,8        
la11     20x5  1222            2     3164 158,9              0     1552  27,0        
la12     20x5  1039            1     2500 140,6              1     1276  22,8        
la13     20x5  1150            1     2721 136,6              1     1371  19,2        
la14     20x5  1292            0     3351 159,4              1     1362   5,4        
la15     20x5  1207            1     3157 161,6              1     1511  25,2        
la16     10x10  945            0     3456 265,7              1     1443  52,7        
la17     10x10  784            1     3111 296,8              1     1135  44,8        
la18     10x10  848            1     3035 257,9              0     1130  33,3        
la19     10x10  842            0     3668 335,6              1     1188  41,1        
la20     10x10  902            0     3029 235,8              0     1404  55,7        
la21     15x10 1046            1     4361 316,9              2     1494  42,8        
la22     15x10  927            1     4369 371,3              1     1428  54,0        
la23     15x10 1032            1     4358 322,3              1     1576  52,7        
la24     15x10  935            1     4648 397,1              1     1693  81,1        
la25     15x10  977            1     4709 382,0              1     1495  53,0        
la26     20x10 1218            1     6857 463,0              2     1792  47,1        
la27     20x10 1235            1     7121 476,6              1     1918  55,3        
la28     20x10 1216            1     6389 425,4              2     2058  69,2        
la29     20x10 1152            1     5158 347,7              2     1626  41,1        
la30     20x10 1355            1     5295 290,8              1     1944  43,5        
la31     30x10 1784            2     8061 351,8              2     2328  30,5        
la32     30x10 1850            2     8529 361,0              2     2601  40,6        
la33     30x10 1719            2     6955 304,6              1     2600  51,3        
la34     30x10 1721            2     7968 363,0              1     2381  38,3        
la35     30x10 1888            2     7857 316,2              1     2578  36,5        
la36     15x15 1268            1     6899 444,1              1     1981  56,2        
la37     15x15 1397            1     7058 405,2              1     2087  49,4        
la38     15x15 1196            1     6560 448,5              1     1860  55,5        
la39     15x15 1233            1     6581 433,7              1     1778  44,2        
la40     15x15 1222            2     5952 387,1              1     1977  61,8        
AVG      -        -          1,4        - 262,9            1,0        -  40,2        

