
                         tabou_est_lrpt                tabou_est_spt                 
instance size  best      runtime makespan ecart        runtime makespan ecart        
aaa1     2x3     11           50       11   0,0             16       11   0,0        
aaa2     4x3     29           28       29   0,0             16       29   0,0        
aaa3     4x3     41           20       41   0,0             21       41   0,0        
la01     10x5   666           51      695   4,4             56      666   0,0        
la02     10x5   655           67      753  15,0             43      713   8,9        
la03     10x5   597           30      692  15,9             33      647   8,4        
la04     10x5   590           39      638   8,1             42      605   2,5        
la05     10x5   593           18      593   0,0             19      593   0,0        
la06     15x5   926           32      926   0,0             64      936   1,1        
la07     15x5   890           70      890   0,0             71      959   7,8        
la08     15x5   863           43      900   4,3             55      933   8,1        
la09     15x5   951           30      951   0,0             27      951   0,0        
la10     15x5   958           28      958   0,0             47     1049   9,5        
la11     20x5  1222           45     1222   0,0             62     1320   8,0        
la12     20x5  1039           61     1039   0,0             52     1108   6,6        
la13     20x5  1150           49     1150   0,0             69     1231   7,0        
la14     20x5  1292           46     1292   0,0             55     1374   6,3        
la15     20x5  1207           52     1262   4,6             52     1335  10,6        
la16     10x10  945           84     1027   8,7            110     1011   7,0        
la17     10x10  784           96      801   2,2            115      866  10,5        
la18     10x10  848          106      905   6,7             91      981  15,7        
la19     10x10  842          118      969  15,1            124      909   8,0        
la20     10x10  902          118      943   4,5            127      937   3,9        
la21     15x10 1046          153     1166  11,5            149     1214  16,1        
la22     15x10  927          136     1049  13,2            167     1118  20,6        
la23     15x10 1032          147     1094   6,0            153     1119   8,4        
la24     15x10  935          134     1011   8,1            153     1179  26,1        
la25     15x10  977          177     1112  13,8            175     1364  39,6        
la26     20x10 1218          218     1345  10,4            221     1445  18,6        
la27     20x10 1235          187     1393  12,8            225     1705  38,1        
la28     20x10 1216          181     1419  16,7            249     1478  21,5        
la29     20x10 1152          246     1330  15,5            264     1491  29,4        
la30     20x10 1355          176     1466   8,2            300     1604  18,4        
la31     30x10 1784          255     1840   3,1            282     1820   2,0        
la32     30x10 1850          232     1852   0,1            371     2144  15,9        
la33     30x10 1719          288     1759   2,3            322     1834   6,7        
la34     30x10 1721          246     1842   7,0            332     1988  15,5        
la35     30x10 1888          287     1974   4,6            341     2097  11,1        
la36     15x15 1268          400     1484  17,0            514     1719  35,6        
la37     15x15 1397          417     1537  10,0            257     1613  15,5        
la38     15x15 1196          423     1376  15,1            473     1357  13,5        
la39     15x15 1233          462     1381  12,0            410     1534  24,4        
la40     15x15 1222          361     1367  11,9            458     1361  11,4        
AVG      -        -        149,0        -   6,7          167,0        -  12,0        


